Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0708427730604094,0.0120069913603685,-4.39514124916511E-18,0,0,0,44.0732057802198,1.0971824669988,-6.72641588721367E-17,4.98158605125975E-17,1.45930594172483,-5.0258052230781E-16,0.510073622144381,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/base_link.STL,1,0.949019607843137,0.898039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,-1.38777878078145E-16,-4.16333634234434E-17,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,3.30872245021211E-24,1.61165209109768E-22,2.12034465771185E-06,5.2272633464336E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l1.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l1.STL,,roller_wheel-8,Origin_jl1,Axis_jl1,jl1,continuous,0.22084,-0.235,0.065,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
l2,-1.11022302462516E-16,-2.08166817117217E-17,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,-4.96308367531817E-24,1.54539600381525E-22,2.12034465771185E-06,5.22648558026031E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l2.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l2.STL,,roller_wheel-9,Origin_jl2,Axis_jl2,jl2,continuous,0.22084,-0.205,0,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
l3,-2.77555756156289E-17,0,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,-3.30872245021211E-24,9.27803307014988E-23,2.12034465771185E-06,5.22755551092004E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l3.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l3.STL,,roller_wheel-10,Origin_jl3,Axis_jl3,jl3,continuous,0.22084,-0.155,-0.06,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
l4,-2.77555756156289E-17,0,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,-3.30872245021211E-24,9.27803307014988E-23,2.12034465771185E-06,5.22755551092004E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l4.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l4.STL,,roller_wheel-18,Origin_jl4,Axis_jl4,jl4,continuous,0.22084,-0.0775,-0.06,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
l5,1.20346441145891E-17,-2.08166817117217E-17,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,-4.96308367531817E-24,-1.0195844475648E-22,2.12034465771185E-06,1.04202413175718E-20,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l5.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l5.STL,,roller_wheel-11,Origin_jl5,Axis_jl5,jl5,continuous,0.22084,0,-0.06,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
l6,0,-6.93889390390723E-18,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,-3.30872245021211E-24,9.27803307014988E-23,2.12034465771185E-06,5.22755551092004E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l6.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l6.STL,,roller_wheel-17,Origin_jl6,Axis_jl6,jl6,continuous,0.22084,0.0775,-0.06,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
l7,2.77555756156289E-17,-1.38777878078145E-17,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,0,9.27803307014988E-23,2.12034465771185E-06,5.22755551092004E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l7.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l7.STL,,roller_wheel-12,Origin_jl7,Axis_jl7,jl7,continuous,0.22084,0.155,-0.06,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
l8,0,-9.10729824887824E-18,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,-4.96308367531817E-24,1.54539947280464E-22,2.12034465771185E-06,5.22652004437335E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l8.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l8.STL,,roller_wheel-13,Origin_jl8,Axis_jl8,jl8,continuous,0.22084,0.205,0,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
l9,0,1.38777878078145E-17,-0.00499999999999998,0,0,0,0.0145769899126567,2.12034465771185E-06,6.61744490042422E-24,1.61165456553151E-22,2.12034465771185E-06,5.22769440213833E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l9.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/l9.STL,,roller_wheel-14,Origin_jl9,Axis_jl9,jl9,continuous,0.22084,0.235,0.065,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
r1,-1.11022302462516E-16,2.77555756156289E-17,0.00499999999999999,0,0,0,0.0145769899126567,2.12034465771185E-06,-1.65436122510606E-24,-1.81398114143543E-22,2.12034465771185E-06,2.42777647316228E-23,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r1.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r1.STL,,roller_wheel-7,Origin_jr1,Axis_jr1,jr1,continuous,-0.079157,-0.235,0.065,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
r2,2.77555756156289E-17,-1.86482773667507E-17,0.005,0,0,0,0.0145769899126567,2.12034465771185E-06,1.65436122510606E-24,2.20225950264768E-22,2.12034465771185E-06,-5.19481120469962E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r2.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r2.STL,,roller_wheel-6,Origin_jr2,Axis_jr2,jr2,continuous,-0.079157,-0.205,0,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
r3,-2.77555756156289E-17,0,0.00500000000000002,0,0,0,0.0145769899126567,2.12034465771185E-06,-3.97046694025453E-23,1.63609480293604E-22,2.12034465771185E-06,2.07054762342682E-23,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r3.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r3.STL,,roller_wheel-5,Origin_jr3,Axis_jr3,jr3,continuous,-0.079157,-0.155,-0.06,1.5708,0.051019,-1.5708,base_link,0,0,1,,,,,,,,,,,,
r4,2.77555756156289E-17,-1.38777878078145E-17,-0.005,0,0,0,0.0145769899126567,2.12034465771185E-06,-1.05879118406788E-22,-5.27975819480618E-24,2.12034465771185E-06,-2.56602770116205E-22,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r4.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r4.STL,,roller_wheel-16,Origin_jr4,Axis_jr4,jr4,continuous,-0.079157,-0.0775,-0.06,1.5708,-1.1689,1.5708,base_link,0,0,1,,,,,,,,,,,,
r5,1.60461921527855E-17,1.38777878078145E-17,0.00500000000000002,0,0,0,0.0145769899126567,2.12034465771185E-06,-3.30872245021211E-23,-1.70401532106193E-22,2.12034465771185E-06,2.62857502617788E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r5.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r5.STL,,roller_wheel-4,Origin_jr5,Axis_jr5,jr5,continuous,-0.079157,0,-0.06,1.5708,-0.052725,-1.5708,base_link,0,0,1,,,,,,,,,,,,
r6,3.46944695195361E-18,2.77555756156289E-17,-0.00500000000000002,0,0,0,0.0145769899126567,2.12034465771185E-06,-1.05879118406788E-22,-5.27975819480619E-24,2.12034465771185E-06,-2.56602770116205E-22,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r6.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r6.STL,,roller_wheel-15,Origin_jr6,Axis_jr6,jr6,continuous,-0.079157,0.0775,-0.06,1.5708,-1.1689,1.5708,base_link,0,0,1,,,,,,,,,,,,
r7,0,0,0.005,0,0,0,0.0145769899126567,2.12034465771185E-06,0,2.97439265988952E-22,2.12034465771185E-06,-5.19422692585751E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r7.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r7.STL,,roller_wheel-3,Origin_jr7,Axis_jr7,jr7,continuous,-0.079157,0.155,-0.06,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
r8,-2.77555756156289E-17,-1.38777878078145E-17,0.005,0,0,0,0.0145769899126567,2.12034465771185E-06,-1.05879118406788E-22,2.07423726463236E-22,2.12034465771185E-06,4.67363283241889E-24,3.99773948354608E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r8.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r8.STL,,roller_wheel-2,Origin_jr8,Axis_jr8,jr8,continuous,-0.079157,0.205,0,1.5708,-0.31004,-1.5708,base_link,0,0,1,,,,,,,,,,,,
r9,-8.32667268468867E-17,-2.77555756156289E-17,0.005,0,0,0,0.0145769899126567,2.12034465771185E-06,3.30872245021211E-24,2.95236164496244E-22,2.12034465771185E-06,-5.19394624347761E-21,3.99773948354609E-06,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r9.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Wheel taperon_urdf/meshes/r9.STL,,roller_wheel-1,Origin_jr9,Axis_jr9,jr9,continuous,-0.079157,0.235,0.065,1.5708,-0.010065,-1.5708,base_link,0,0,1,,,,,,,,,,,,
